Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
128,United Arab Emirates,,784,ARE,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
129,Yemen,,887,YEM,4,Country/Area,922,Western Asia,935,Asia,No,Yes,Yes,No,No,0.15419,Yes,No,No,No,No,0.15474,2011,0,…,0.15474,…,No
130,EUROPE,,908,,2,Major Area,908,Europe,900,World,,,,,,,,,,,,,,,,,,
131,Eastern Europe,,923,,3,Region,923,Eastern Europe,908,Europe,,,,,,,,,,,,,,,,,,
132,Belarus,,112,BLR,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.3406,Yes,No,No,No,No,0.37537,2011,0,0.3,0.37537,25.12333333,No
133,Bulgaria,,100,BGR,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.09185,Yes,No,No,No,No,0.09989,2011,0,0.1,0.09989,-0.11,No
134,Czech Republic,,203,CZE,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
135,Hungary,,348,HUN,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.06638,Yes,No,No,No,No,0.11008,1986,25,0.05,0.07,40,No
136,Poland,,616,POL,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.13785,Yes,No,No,No,No,0.14456,2011,0,0.1,0.14456,44.56,No
137,Republic of Moldova,13,498,MDA,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.477452584,Yes,No,No,No,No,0.536100723,2011,0,0.4,0.536100723,34.02518084,No
138,Romania,,642,ROU,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.11463,Yes,No,No,No,No,0.124,2003,8,0.1,0.109,9,No
139,Russian Federation,,643,RUS,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.98471,Yes,No,No,No,No,1.11,2011,0,1,1.11,11,No
140,Slovakia,,703,SVK,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
141,Ukraine,,804,UKR,4,Country/Area,923,Eastern Europe,908,Europe,Yes,No,No,No,No,0.90284,Yes,No,No,No,No,1.04,2007,4,1.1,0.75957,-30.94818182,No
142,Northern Europe,,924,,3,Region,924,Northern Europe,908,Europe,,,,,,,,,,,,,,,,,,
